ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
230113,230100,双城区,双城,"中国,黑龙江省,哈尔滨市,双城区",Shuangcheng,3,451,150100,126.308.784,45.377.942,,
230123,230100,依兰县,依兰,"中国,黑龙江省,哈尔滨市,依兰县",Yilan,3,451,154800,12.956.817,463.247,,
230124,230100,方正县,方正,"中国,黑龙江省,哈尔滨市,方正县",Fangzheng,3,451,150800,12.882.952,4.585.162,,
230125,230100,宾县,宾县,"中国,黑龙江省,哈尔滨市,宾县",Binxian,3,451,150400,12.748.675,4.575.504,,
230126,230100,巴彦县,巴彦,"中国,黑龙江省,哈尔滨市,巴彦县",Bayan,3,451,151800,12.740.799,4.608.148,,
230127,230100,木兰县,木兰,"中国,黑龙江省,哈尔滨市,木兰县",Mulan,3,451,151900,1.280.448,4.594.944,,
230128,230100,通河县,通河,"中国,黑龙江省,哈尔滨市,通河县",Tonghe,3,451,150900,12.874.603,4.599.007,,
230129,230100,延寿县,延寿,"中国,黑龙江省,哈尔滨市,延寿县",Yanshou,3,451,150700,12.833.419,454.554,,
230183,230100,尚志市,尚志,"中国,黑龙江省,哈尔滨市,尚志市",Shangzhi,3,451,150600,12.796.191,4.521.736,,
230184,230100,五常市,五常,"中国,黑龙江省,哈尔滨市,五常市",Wuchang,3,451,150200,12.716.751,4.493.184,,
230200,230000,齐齐哈尔市,齐齐哈尔,"中国,黑龙江省,齐齐哈尔市",Qiqihar,2,452,161005,123.953.486,47.348.079,1A2,
230202,230200,龙沙区,龙沙,"中国,黑龙江省,齐齐哈尔市,龙沙区",Longsha,3,452,161000,12.395.752,4.731.776,,
230203,230200,建华区,建华,"中国,黑龙江省,齐齐哈尔市,建华区",Jianhua,3,452,161006,1.240.133,4.736.718,,
230204,230200,铁锋区,铁锋,"中国,黑龙江省,齐齐哈尔市,铁锋区",Tiefeng,3,452,161000,12.397.821,4.734.075,,
230205,230200,昂昂溪区,昂昂溪,"中国,黑龙江省,齐齐哈尔市,昂昂溪区",Angangxi,3,452,161031,12.382.229,4.715.513,,
230206,230200,富拉尔基区,富拉尔基,"中国,黑龙江省,齐齐哈尔市,富拉尔基区",Fulaerji,3,452,161041,12.362.918,4.720.884,,
230207,230200,碾子山区,碾子山,"中国,黑龙江省,齐齐哈尔市,碾子山区",Nianzishan,3,452,161046,12.288.183,4.751.662,,
230208,230200,梅里斯达斡尔族区,梅里斯,"中国,黑龙江省,齐齐哈尔市,梅里斯达斡尔族区",Meilisi,3,452,161021,12.375.274,4.730.946,,
